,cell_diameter,cell_length,doubling_h,growth_tmp,optimum_tmp,optimum_ph,genome_size,gc_content,coding_genes,rRNA16S_genes,tRNA_genes
Zotu6267,-0.3342,0.5855,0.3262,27.87,29.8,7.283,7170000,43.11,4149,3.039,41.84
Zotu6268,-0.1827,0.3071,0.2169,29.66,27.59,7.022,6150000,62.43,5210,2.935,77.94
Zotu6269,0.191,0.2577,0.9977,24.09,26.22,6.084,8760000,59.98,5311,2.103,58.59
Zotu627,-0.4163,0.09129,0.4334,29.61,27.74,7.572,6270000,62.65,6593,2.001,52.98
Zotu6270,-0.3373,0.2779,0.386,28.61,28.8,7.297,3750000,66.2,4284,2.305,53.44
Zotu6271,-0.3107,-0.1162,0.717,26.06,28.8,8.67,8060000,71.87,7031,6.019,66.19
Zotu6272,-0.1204,-0.01159,0.7286,34.7,26.77,7.482,7630000,58.16,3658,1.423,47.9
Zotu6273,-0.05618,0.3035,1.178,37.53,38.55,7.167,4110000,54.62,3701,1.967,49.4
Zotu6274,-0.09987,0.2699,1.382,27.7,30.41,7.183,6360000,62.93,5487,1.56,49.91
Zotu6275,-0.334,0.3497,0.7175,32.25,40.46,6.883,5870000,66.62,4908,1.779,48.33
Zotu6276,-0.4044,0.2516,0.4323,28.44,28.95,7.022,4500000,65.47,4071,2.102,51.65
Zotu6277,-0.05996,0.03361,0.795,29.94,30.69,7.146,4080000,60.31,3830,2.059,47.55
Zotu6278,-0.3356,0.3496,0.767,43.46,38.31,6.728,4890000,50.66,3118,1.903,47.56
Zotu6279,-0.251,0.2404,0.7286,37.47,31.34,6.874,4100000,57.56,3526,1.571,47.87
Zotu628,-0.1067,0.1308,0.7286,28.71,31.09,6.123,5870000,57.43,2765,1.523,52.62
Zotu6280,-0.251,0.2404,0.7286,37.47,34.03,6.874,3540000,55.46,3692,1.918,48.95
Zotu6281,-0.3006,0.1497,0.4323,33.82,33.17,7.423,2970000,54.5,2901,2.543,48.53
Zotu6282,0.01833,0.09484,1.014,28.16,27.51,7.026,6530000,56.5,5315,1.528,56.17
Zotu6283,-0.3378,0.3546,0.6989,42.75,40.84,6.908,3330000,49.44,3098,2.119,48.04
Zotu6284,-0.3911,0.4063,0.5201,39.8,40.13,6.953,3390000,41.82,3045,1.744,46.72
Zotu6285,-0.3505,0.1512,0.9745,28.52,52.04,6.077,4220000,58.2,4002,1.412,47.99
Zotu6286,-0.2232,0.194,0.6168,43.44,40.65,7.06,3630000,61.64,3777,2.166,49.16
Zotu6287,-0.3505,0.1512,0.9745,41.94,52.04,6.077,4230000,59.04,4002,1.412,47.99
Zotu6288,0.002106,0.08859,1.014,28.9,28.2,6.322,6950000,55.3,5007,1.944,54.51
Zotu6289,-0.1855,0.1459,0.9006,51.88,50.16,7.16,3820000,56.05,2978,1.788,48.15
Zotu629,-0.2724,0.1697,0.3441,30.89,31.46,7.142,3570000,58.86,3273,2.028,47.14
Zotu6290,-0.1252,0.2544,0.6168,28.27,29.84,7.384,6350000,71.26,3777,2.166,49.16
Zotu6291,-0.3875,0.2621,0.8624,41.98,40.65,6.648,4590000,55.41,3118,1.903,47.56
Zotu6292,0.001002,0.07812,1.014,28.21,27.47,7.026,6520000,56.41,5315,1.541,56.17
Zotu6293,-0.08173,0.5796,0.7953,48.11,48.5,7.542,5360000,59.35,3830,2.354,48.45
Zotu6294,-0.3505,0.1512,0.9745,34.34,38.88,6.077,5190000,59.04,4002,1.412,47.99
Zotu6295,-0.251,0.2404,0.7286,37.47,34.03,6.874,3540000,55.46,3692,1.918,48.95
Zotu6296,-0.3365,0.3497,0.7015,43.47,41.41,6.883,3750000,49.58,3117,1.903,47.56
Zotu6297,0.08168,0.1908,0.9977,29.57,28.5,6.084,6990000,59.98,5311,2.103,58.59
Zotu6298,0.1673,0.1371,0.717,28,28.35,6.916,6200000,71.79,8403,3.216,61.6
Zotu6299,-0.2484,0.1686,0.6168,35.62,33.48,7.041,4910000,62.52,4057,2.232,49.27
Zotu63,-0.3505,0.1512,0.9745,41.94,52.04,6.077,4230000,59.04,4002,1.412,47.99
Zotu630,-0.2484,0.1686,0.6168,35.62,33.48,7.041,4910000,62.52,4057,2.232,49.27
Zotu6300,-0.1493,0.5362,0.8953,30.86,30.66,7.86,9380000,67.92,7465,2.645,57.6
Zotu6301,-0.1204,-0.01159,0.7286,34.7,26.77,7.482,5070000,63.21,4051,1.138,48.32
Zotu6302,-0.251,0.2404,0.7286,37.47,31.34,6.874,4100000,57.56,3526,1.571,47.87
Zotu6303,-0.1983,0.1902,0.02772,30.82,30.05,6.674,3800000,57.32,3274,5.616,73.6
Zotu6304,-0.3342,0.5855,0.3262,27.87,29.8,7.283,7170000,43.11,4149,3.039,41.84
Zotu6305,-0.2232,0.194,0.6168,43.44,40.65,7.06,3630000,61.64,3777,2.166,49.16
Zotu6306,-0.2232,0.194,0.6168,43.44,40.65,7.06,3630000,61.64,3777,2.166,49.16
Zotu6307,-0.3356,0.3669,0.7184,42.76,40.28,7,3590000,50.84,3194,2.111,48.76
Zotu6308,-0.1216,0.262,0.7953,53.45,54.75,7.472,4060000,59.86,3211,2.041,48.85
Zotu6309,-0.09987,0.2699,1.382,27.7,30.41,7.183,6360000,62.93,5487,1.56,49.91
Zotu631,-0.3006,0.1497,0.4323,33.82,33.17,7.423,3220000,54.5,2901,2.543,48.53
Zotu6310,-0.09736,0.3789,0.7531,46.07,48.19,7.261,1100000,45.42,1337,2.226,44.95
Zotu6311,-0.3178,0.2049,0.2474,40.79,32.52,7.171,3530000,61.27,3398,2.378,49.18
Zotu6312,0.08168,0.1908,0.9977,29.57,28.5,6.084,6990000,59.98,5311,2.103,58.59
Zotu6313,-0.334,0.3497,0.7175,32.25,40.46,6.883,3480000,48.56,3186,2.098,48.56
Zotu6314,-0.2484,0.1686,0.6168,35.62,33.48,7.041,4910000,62.52,4057,2.232,49.27
Zotu6315,-0.4483,0.1591,0.3714,29.79,29.17,6.973,5670000,44.55,5771,3.71,54.77
Zotu6316,-0.3356,0.3496,0.767,43.46,38.31,6.728,4180000,50.66,3118,1.903,47.56
Zotu6317,-0.2409,0.1459,0.941,54.08,52.1,7.131,4080000,57.81,3346,1.684,47.91
Zotu6318,0.08168,0.1908,0.9977,29.57,28.5,6.084,6990000,59.98,5311,2.103,58.59
Zotu6319,-0.194,0.3447,0.3817,29.33,30.84,7.105,6620000,50.85,4754,10.01,89.51
Zotu632,-0.3875,0.2621,0.8624,35.54,40.11,6.617,5420000,59.02,4246,1.441,47.89
Zotu6320,-0.2232,0.194,0.6168,43.44,40.65,7.06,3630000,61.64,3777,2.166,49.16
Zotu6321,0.01833,0.09484,1.014,28.16,27.51,7.026,6530000,56.5,5315,1.528,56.17
Zotu6322,-0.3365,0.3497,0.7015,43.47,41.41,6.883,3750000,49.58,3117,1.903,47.56
Zotu6323,-0.3811,0.5213,0.3714,29.18,30.02,6.892,6050000,44.16,5868,3.509,53.25
Zotu6324,0.01613,0.1125,1.014,27.95,26.96,6.322,7020000,55.3,5007,1.944,54.51
Zotu6325,-0.3505,0.1512,0.9745,41.94,52.04,6.077,4230000,59.04,4002,1.412,47.99
Zotu6326,-0.1546,-0.2253,0.7559,28.17,27.57,7.305,4080000,70.1,4431,2.195,48.2
Zotu6327,-0.3335,0.3555,0.3714,37.05,35.94,6.791,5070000,43.37,4504,2.958,48.7
Zotu6328,-0.1493,0.5362,0.8953,30.86,30.66,7.86,9380000,67.92,7465,2.645,57.6
Zotu6329,-0.3169,0.1439,1.002,26.82,34.91,5.847,6130000,59.04,4002,1.412,47.99
Zotu633,-0.3505,0.1512,0.9745,41.94,52.04,6.077,4230000,59.04,4002,1.412,47.99
Zotu6330,-0.1067,0.1308,0.7286,28.71,31.09,6.123,5870000,57.43,2765,1.523,52.62
Zotu6331,-0.1204,-0.01159,0.7286,34.7,26.77,7.482,5070000,63.21,4051,1.138,48.32
Zotu6332,-0.1252,0.1766,0.6168,28.95,29.84,7.384,6350000,71.26,3777,2.166,49.16
Zotu6333,-0.2232,0.194,0.6168,43.44,40.65,7.06,3630000,61.64,3777,2.166,49.16
Zotu6334,-0.3169,0.1439,1.002,26.82,34.91,5.847,5340000,59.04,4002,1.412,47.99
Zotu6335,-0.3875,0.2621,0.8624,35.54,40.11,6.617,5420000,59.02,4246,1.441,47.89
Zotu6336,-0.3584,0.5582,0.5464,29.37,32.61,7.207,4330000,41.88,3626,3.124,48.97
Zotu6337,-0.2768,0.1314,0.795,28.04,27.53,7.163,4250000,66.72,4321,2.013,50.16
Zotu6338,-0.06279,0.2933,0.3714,28.62,31.45,7.048,5160000,45.02,4001,3.021,42.77
Zotu6339,-0.3875,0.2621,0.8624,35.54,40.11,6.617,5420000,59.02,4246,1.441,47.89
Zotu634,-0.08624,0.3032,0.7855,29.61,31.75,7.017,6610000,63.4,3690,3.289,51.42
Zotu6340,-0.1917,0.301,0.7789,29.86,30.34,7.192,4790000,56.93,3690,3.289,51.42
Zotu6341,-0.1493,0.5362,0.8953,30.86,30.66,7.86,9380000,67.92,7465,2.645,57.6
Zotu6342,-0.3093,0.177,0.6168,40.96,34.79,5.364,2190000,59.66,4057,2.232,49.27
Zotu6343,0.001002,0.07812,1.014,28.21,27.47,7.026,6520000,56.41,5315,1.541,56.17
Zotu6344,-0.07137,0.08759,0.717,30.66,27.16,7.394,9180000,71.24,7686,4.593,59.29
Zotu6345,-0.2869,0.104,0.795,28.77,25.52,7.103,4590000,65.39,4661,2.33,52.13
Zotu6346,-0.2497,0.3291,0.63,48.27,49.75,7.055,2690000,55.92,2797,2.782,51.19
Zotu6347,-0.3356,0.3496,0.767,43.46,38.31,6.728,4890000,50.66,3118,1.903,47.56
Zotu6348,-0.1216,0.262,0.7953,53.25,54.55,7.252,3870000,56.7,3006,1.97,48.65
Zotu6349,0.001207,0.12,0.7752,30.79,30.87,7.389,4890000,70.02,4101,2.873,48.82
Zotu635,-0.2724,0.1697,0.3441,30.89,31.46,7.142,3840000,59.77,3403,2.028,45.72
Zotu6350,-0.3006,0.1497,0.4323,33.82,33.17,7.423,2970000,54.5,2901,2.543,48.53
Zotu6351,-0.3875,0.2621,0.8624,35.54,40.11,6.617,5420000,59.02,4246,1.441,47.89
Zotu6352,-0.2932,0.2044,1.174,31.33,38.33,7.698,8220000,63.13,5855,3.134,58.92
Zotu6353,-0.2951,0.3109,0.5892,55.28,56.71,6.977,2530000,46.55,2424,2.435,49.49
Zotu6354,-0.1216,0.262,0.7953,53.25,54.55,7.252,3870000,56.7,3006,1.97,48.65
Zotu6355,-0.1917,0.301,0.7789,29.86,30.34,7.192,5370000,56.93,3690,3.289,51.42
Zotu6356,-0.334,0.3497,0.7175,32.25,40.46,6.883,3480000,48.56,3186,2.098,48.56
Zotu6357,-0.3006,0.1497,0.4323,33.82,33.17,7.423,2970000,54.5,2901,2.543,48.53
Zotu6358,-0.1349,0.07502,0.7286,31.72,31.43,6.693,4790000,55.86,3063,1.473,48.58
Zotu6359,-0.1252,0.1766,0.6168,29.95,29.84,7.384,6350000,71.26,3777,2.166,49.16
Zotu636,-0.3505,0.1512,0.9745,41.94,52.04,6.077,4230000,59.04,4002,1.412,47.99
Zotu6360,-0.3505,0.1512,0.9745,41.94,52.04,6.077,4230000,59.04,4002,1.412,47.99
Zotu6361,-0.09987,0.2699,1.382,27.7,30.41,7.183,6.00E+06,62.35,5332,1.369,49.26
Zotu6362,-0.3356,0.3669,0.7184,42.76,40.28,7,3590000,50.84,3194,2.111,48.76
Zotu6363,0.001002,0.07812,1.014,28.21,27.89,7.026,6550000,56.41,5315,1.541,56.17
Zotu6364,-0.3192,0.4369,0.3714,29.75,29.56,6.873,5670000,44.55,5771,3.71,54.77
Zotu6365,-0.1349,0.07502,0.7286,31.72,34.07,6.006,5020000,54.98,2765,1.443,50.55
Zotu6366,-0.09987,0.2699,1.382,27.36,30.41,7.183,6080000,64.41,4587,2.139,49.87
Zotu6367,-0.3875,0.2621,0.8624,35.54,40.11,6.617,5420000,59.02,4246,1.441,47.89
Zotu6368,-0.2102,0.2089,1.118,26.1,24.23,5.188,5320000,60.11,3857,1.522,49.11
Zotu6369,-0.3505,0.1512,0.9745,41.94,52.04,6.077,4230000,59.04,4002,1.412,47.99
Zotu637,-0.3505,0.1512,0.9745,34.34,38.88,6.077,5190000,59.04,4002,1.412,47.99
Zotu6370,-0.1187,0.5969,0.8953,30.09,30.48,7.802,8450000,66.23,7352,2.613,57.21
Zotu6371,-0.3875,0.2621,0.8624,35.54,40.11,6.617,5420000,59.02,4246,1.441,47.89
Zotu6372,-0.1521,0.3022,0.7855,29.59,29.79,7.18,5820000,63.4,3690,3.289,51.42
Zotu6373,-0.2232,0.194,0.6168,43.44,40.65,7.06,3630000,61.64,3777,2.166,49.16
Zotu6374,-0.3818,0.5896,0.3262,28.09,29.94,7.293,5410000,42.63,4120,3.075,41.47
Zotu6375,0.08168,0.1908,0.9977,29.57,28.5,6.084,6990000,59.98,5311,2.103,58.59
Zotu6376,-0.3505,0.1512,0.9745,41.94,52.04,6.077,4230000,59.04,4002,1.412,47.99
Zotu6377,0.02005,0.5274,-0.02368,32.08,35.66,8.136,4070000,40.35,3706,9.94,87.58
Zotu6378,-0.3811,0.5213,0.3714,29.31,30.02,6.892,5200000,44.16,5868,3.509,53.25
Zotu6379,0.1673,0.1371,0.717,28.22,27.92,6.916,5370000,72.2,8403,3.216,61.6
Zotu638,-0.3178,0.2049,0.2474,40.79,32.52,7.171,3530000,61.27,3398,2.378,49.18
Zotu6380,-0.115,0.04856,0.7559,28.13,29.3,5.938,8080000,71.26,5223,4.478,56.15
Zotu6381,-0.3342,0.5855,0.3262,27.87,29.8,7.283,7170000,43.11,4149,3.039,41.84
Zotu6382,-0.3093,0.177,0.6168,40.96,34.79,5.364,2190000,59.66,4057,2.232,49.27
Zotu6383,-0.3584,0.5582,0.5464,29.37,32.61,7.207,4220000,40.58,3659,3.124,47.58
Zotu6384,0.08168,0.1908,0.9977,29.57,28.5,6.084,6990000,59.98,5311,2.103,58.59
Zotu6385,-0.1252,0.1766,0.6168,29.95,29.84,7.384,6350000,71.26,3777,2.166,49.16
Zotu6386,-0.2232,0.194,0.6168,43.44,40.65,7.06,3630000,61.64,3777,2.166,49.16
Zotu6387,-0.09736,0.3789,0.7531,46.07,48.19,7.261,1100000,45.42,1337,2.226,44.95
Zotu6388,-0.3342,0.5855,0.3262,27.87,29.8,7.283,7170000,43.11,4149,3.039,41.84
Zotu6389,0.08168,0.1908,0.9977,29.57,28.5,6.084,6990000,59.98,5311,2.103,58.59
Zotu639,-0.251,0.2404,0.7286,37.47,31.34,6.874,4100000,57.56,3526,1.571,47.87
Zotu6390,-0.3178,0.2049,0.2474,40.79,32.52,7.171,3530000,61.27,3398,2.378,49.18
Zotu6391,-0.3875,0.2621,0.8624,41.33,40.11,6.617,4770000,55.41,3118,1.903,47.56
Zotu6392,-0.3249,0.7472,0.5464,27.08,28.22,6.917,4200000,39.76,4159,3.462,51.92
Zotu6393,0.01559,0.1257,1.014,29.3,28.41,6.322,6270000,56.83,4988,1.618,54.21
Zotu6394,0.001002,0.07812,1.014,28.21,27.47,7.026,6520000,56.41,5315,1.541,56.17
Zotu6395,-0.1774,0.09056,0.7559,27.89,26.51,6.759,8830000,70.18,6435,3.539,55.81
Zotu6396,-0.251,0.2404,0.7286,37.47,31.34,6.874,4100000,57.56,3526,1.571,47.87
Zotu6397,-0.3356,0.3496,0.767,43.46,39.45,6.521,3350000,51.95,3051,1.903,47.49
Zotu6398,-0.1855,0.1459,0.9006,51.88,50.16,7.16,3820000,56.05,2978,1.788,48.15
Zotu6399,-0.2,0.1356,0.7378,31.4,31.86,7.174,4150000,60.89,4096,2.065,48.04
Zotu64,-0.334,0.3497,0.7175,32.25,40.46,6.883,5870000,66.62,4908,1.779,48.33
Zotu640,-0.3875,0.2621,0.8624,35.54,40.11,6.617,5420000,59.02,4246,1.441,47.89
Zotu6400,-0.1211,0.04331,0.7559,28.23,30.29,6.074,8080000,71.26,5223,4.478,56.15
Zotu6401,0.001002,0.07812,1.014,28.21,27.47,7.026,6520000,56.41,5315,1.541,56.17
Zotu6402,-0.3169,0.1439,1.002,31.57,34.91,5.847,5340000,59.04,4002,1.412,47.99
Zotu6403,-0.1067,0.1308,0.7286,28.71,31.09,6.123,5870000,57.43,2765,1.523,52.62
Zotu6404,-0.1944,0.1307,0.8099,28.83,30.37,7.161,4520000,62.98,4371,2.164,48.78
Zotu6405,-0.04929,0.3602,-0.1076,31,36.45,7.288,5510000,39.11,4672,11,95.5
Zotu6406,-0.4052,0.1137,0.3235,21.82,28.57,7.355,3080000,56.06,2962,2.194,46.92
Zotu6407,0.001002,0.07812,1.014,28.21,27.47,7.026,6520000,56.41,5315,1.541,56.17
Zotu6408,-0.1067,0.1308,0.7286,28.71,31.09,6.123,5870000,57.43,2765,1.523,52.62
Zotu6409,-0.3356,0.3496,0.767,43.46,38.31,6.728,4890000,50.66,3118,1.903,47.56
Zotu641,-0.09622,0.1673,0.8099,27.55,29.82,7.042,4840000,63.37,4392,2.164,49.46
Zotu6410,-0.3811,0.5213,0.3714,29.31,30.02,6.892,5200000,44.16,5868,3.509,53.25
Zotu6411,-0.3911,0.4063,0.5201,39.8,40.13,6.953,3390000,41.82,3045,1.744,46.72
Zotu6412,-0.251,0.2404,0.7286,37.47,36.11,6.874,3730000,52.26,3281,1.918,48.12
Zotu6413,-0.1493,0.5362,0.8953,30.86,30.66,7.86,9380000,67.92,7465,2.645,57.6
Zotu6414,-0.3356,0.3669,0.7184,42.76,40.28,7,3590000,50.84,3194,2.111,48.76
Zotu6415,-0.2484,0.1686,0.6168,35.62,33.48,7.041,4910000,62.52,4057,2.232,49.27
Zotu6416,-0.2976,0.3837,0.4322,28.79,26.31,5.98,4110000,64.24,5015,2.666,55.1
Zotu6417,-0.3192,0.5036,0.3714,28.54,30.44,7.305,5160000,43.14,4001,3.021,42.77
Zotu6418,-0.3356,0.3669,0.7184,42.76,40.28,7,3590000,50.84,3194,2.111,48.76
Zotu6419,-0.3093,0.177,0.6168,40.96,34.79,5.364,2190000,59.66,4057,2.232,49.27
Zotu642,-0.2484,0.1686,0.6168,35.62,33.48,7.041,4910000,62.52,4057,2.232,49.27
Zotu6420,-0.3875,0.2621,0.8624,35.54,40.11,6.617,5420000,59.02,4246,1.441,47.89
Zotu6421,-0.2409,0.1459,0.8557,54.36,54.46,7.356,4080000,57.81,3346,1.684,47.91
Zotu6422,-0.04211,0.1713,0.6168,28.04,29.84,7.384,8560000,61.64,3777,2.166,49.16
Zotu6423,-0.2232,0.194,0.6168,43.44,40.65,7.06,3630000,61.64,3777,2.166,49.16
Zotu6424,-0.1067,0.1308,0.7286,28.71,31.09,6.123,5870000,57.43,2765,1.523,52.62
Zotu6425,0.001002,0.07812,1.014,28.21,27.89,7.026,6550000,56.41,5315,1.541,56.17
Zotu6426,-0.2845,0.3221,0.6288,53.41,55.38,7.062,2580000,47.85,2456,2.595,50.06
Zotu6427,-0.3356,0.3496,0.767,43.46,38.31,6.728,4890000,50.66,3118,1.903,47.56
Zotu6428,-0.3169,0.1439,1.002,26.82,34.91,5.847,6130000,59.04,4002,1.412,47.99
Zotu6429,-0.1091,0.4132,0.3714,29.75,28.29,6.873,5670000,44.55,5771,3.71,54.77
Zotu643,-0.3875,0.2621,0.8624,35.54,40.11,6.617,5420000,59.02,4246,1.441,47.89
Zotu6430,-0.09181,0.4517,0.015,36.91,35.95,7.118,3670000,29.72,3441,11.29,98.32
Zotu6431,-0.3745,0.5125,0.3714,29.28,30,6.885,5910000,44.33,5771,3.71,54.77
Zotu6432,-0.2581,0.3496,0.9196,46.43,42.59,5.923,3700000,52.43,3027,1.668,47.69
Zotu6433,-0.2409,0.1459,0.941,54.08,52.1,7.131,4080000,57.81,3346,1.684,47.91
Zotu6434,-0.2876,0.3236,0.6248,51.71,54.15,7.064,2470000,47.51,2327,2.519,49.61
Zotu6435,-0.08007,0.1929,0.4165,34.83,36.02,6.883,6280000,68.03,3941,2.411,51.43
Zotu6436,-0.1503,0.2096,0.8366,51.88,51.56,7.186,3930000,55.8,2943,1.932,48.33
Zotu6437,-0.251,0.2404,0.7286,37.47,34.03,6.874,3540000,55.46,3692,1.918,48.95
Zotu6438,-0.08173,0.5796,0.7953,48.11,48.5,7.542,5820000,59.35,3830,2.354,48.45
Zotu6439,-0.3811,0.5213,0.3714,29.18,30.02,6.892,6050000,44.16,5868,3.509,53.25
Zotu644,-0.3862,0.1568,0.7559,27.02,31.75,7.05,7820000,69.77,5640,2.3,50.08
Zotu6440,-0.3505,0.1512,0.9745,41.94,52.04,6.077,4230000,59.04,4002,1.412,47.99
Zotu6441,-0.2497,0.3291,0.63,48.27,49.75,7.055,2690000,55.92,2797,2.782,51.19
Zotu6442,-0.1503,0.2096,0.8366,51.88,51.56,7.186,3930000,55.8,2943,1.932,48.33
Zotu6443,-0.1216,0.262,0.7953,53.25,54.55,7.252,3870000,56.7,3006,1.97,48.65
Zotu6444,-0.1216,0.262,0.7953,53.45,54.75,7.472,4060000,59.86,3211,2.041,48.85
Zotu6445,-0.156,0.1709,0.7559,28,28,6.972,11100000,70.85,5253,4.528,56.21
Zotu6446,-0.2497,0.3291,0.63,48.27,49.75,7.055,2690000,55.92,2797,2.782,51.19
Zotu6447,-0.1503,0.2096,0.8366,51.88,51.56,7.186,3930000,55.8,2943,1.932,48.33
Zotu6448,-0.3094,0.6305,0.3262,26.81,29.8,7.283,5710000,43.11,4149,3.039,41.84
Zotu6449,0.001002,0.07812,1.014,28.21,27.47,7.026,6520000,56.41,5315,1.541,56.17
Zotu645,-0.04211,0.1713,0.6168,28.04,29.84,7.384,8560000,61.64,3777,2.166,49.16
Zotu6450,-0.09987,0.2699,1.382,27.7,30.41,7.183,6.00E+06,62.35,5332,1.369,49.26
Zotu6451,-0.3875,0.2621,0.8624,35.54,40.11,6.617,5420000,59.02,4246,1.441,47.89
Zotu6452,-0.1555,0.2266,0.717,28.12,32.16,7.307,6690000,69.58,7085,3.322,52.17
Zotu6453,-0.3342,0.5855,0.3262,27.87,29.8,7.283,7170000,43.11,4149,3.039,41.84
Zotu6454,-0.3875,0.2621,0.8624,35.54,40.11,6.617,5420000,59.02,4246,1.441,47.89
Zotu6455,-0.1744,0.3096,1.068,38.18,39.04,7.183,4200000,52.88,3947,2.357,49.86
Zotu6456,-0.2724,0.1697,0.3441,30.89,31.46,7.142,3570000,58.86,3273,2.028,47.14
Zotu6457,-0.3006,0.1497,0.4323,33.82,33.17,7.423,2970000,54.5,2901,2.543,48.53
Zotu6458,-0.3954,0.1609,0.5464,25.75,26.31,6.503,6110000,41.62,4540,3.249,51.23
Zotu6459,-0.2232,0.194,0.6168,42.3,40.65,7.06,4160000,61.64,3777,2.166,49.16
Zotu646,-0.3875,0.2621,0.8624,35.54,40.11,6.617,5420000,59.02,4246,1.441,47.89
Zotu6460,-0.1216,0.262,0.7953,53.45,54.75,7.472,4060000,59.86,3211,2.041,48.85
Zotu6461,-0.1537,0.2266,0.717,32.17,37.36,7.613,6110000,69.37,7036,3.354,54.98
Zotu6462,-0.236,0.5573,0.8953,32.35,30.66,7.86,9380000,67.92,7465,2.645,57.6
Zotu6463,-0.2409,0.1459,0.941,53.38,51.32,7.134,4280000,57.17,3255,1.706,47.96
Zotu6464,-0.3492,0.3496,0.9196,46.43,42.59,5.923,4810000,53.46,3027,1.668,47.69
Zotu6465,-0.2724,0.1697,0.3441,30.89,31.46,7.142,3570000,58.86,3273,2.028,47.14
Zotu6466,-0.334,0.3497,0.7175,32.25,40.46,6.883,3480000,48.56,3186,2.098,48.56
Zotu6467,-0.3911,0.4063,0.5201,39.8,40.13,6.953,3390000,41.82,3045,1.744,46.72
Zotu6468,-0.4483,0.1591,0.3714,29.79,29.17,6.973,5670000,44.55,5771,3.71,54.77
Zotu6469,-0.3875,0.2621,0.8624,35.54,40.11,6.617,5420000,59.02,4246,1.441,47.89
Zotu647,-0.3192,0.4369,0.3714,29.75,29.56,6.873,5670000,44.55,5771,3.71,54.77
Zotu6470,-0.3584,0.5582,0.5464,29.37,32.61,7.207,4330000,41.88,3626,3.124,48.97
Zotu6471,0.2734,0.279,0.9977,28.19,24.63,5.244,7910000,64.22,5885,4.351,62.3
Zotu6472,-0.3356,0.3496,0.767,43.46,38.31,6.728,4890000,50.66,3118,1.903,47.56
Zotu6473,-0.1067,0.1308,0.7286,28.71,31.09,6.123,5870000,57.43,2765,1.523,52.62
Zotu6474,-0.1187,0.5969,0.8953,30.09,30.48,7.802,8450000,66.23,7352,2.613,57.21
Zotu6475,-0.2232,0.194,0.6168,42.3,40.65,7.06,4160000,61.64,3777,2.166,49.16
Zotu6476,-0.1503,0.2096,0.8366,51.88,51.56,7.186,3910000,55.8,2943,1.932,48.33
Zotu6477,-0.3093,0.177,0.6168,40.96,34.79,5.364,2190000,59.66,4057,2.232,49.27
Zotu6478,-0.3875,0.2621,0.8624,35.54,40.11,6.617,5420000,59.02,4246,1.441,47.89
Zotu6479,-0.334,0.3497,0.7175,42.7,40.46,6.883,3480000,48.56,3186,2.098,48.56
Zotu648,-0.1454,0.4097,0.8053,23.97,32.44,7.285,3930000,59.25,3489,1.489,45.52
Zotu6480,-0.1324,0.3768,-0.1629,31,31.59,6.864,4750000,38.62,4294,10.88,95.58
Zotu6481,0.01559,0.1257,1.014,29.3,28.41,6.322,6270000,56.83,4988,1.618,54.21
Zotu6482,0.01559,0.1257,1.014,29.3,28.41,6.322,6270000,56.83,4988,1.618,54.21
Zotu6483,-0.3505,0.1512,0.9745,41.94,52.04,6.077,4230000,59.04,4002,1.412,47.99
Zotu6484,-0.251,0.2404,0.7286,37.47,31.34,6.874,4100000,57.56,3526,1.571,47.87
Zotu6485,-0.1122,-0.03763,0.7909,27.38,26.09,6.736,5750000,69.8,4603,2.561,48.34
Zotu6486,-0.3875,0.2621,0.8624,35.54,40.11,6.617,5420000,59.02,4246,1.441,47.89
Zotu6487,-0.251,0.2404,0.7286,37.47,31.34,6.874,4100000,57.56,3526,1.571,47.87
Zotu6488,0.001207,0.12,0.7752,30.79,30.87,7.389,4890000,70.02,4101,2.873,48.82
Zotu6489,-0.1454,0.4097,0.8053,23.97,32.44,7.285,3930000,59.25,3489,1.489,45.52
Zotu649,-0.3169,0.1439,1.002,31.57,34.91,5.847,5340000,59.04,4002,1.412,47.99
Zotu6490,-0.1999,0.1317,0.7378,30.18,31.76,7.191,4150000,61,4117,2.041,48
Zotu6491,-0.3458,0.4898,0.3714,29.56,30.16,6.533,5540000,44.7,5802,3.867,56
Zotu6492,-0.1855,0.1459,0.9006,51.88,50.16,7.16,3820000,56.05,2978,1.788,48.15
Zotu6493,-0.08173,0.5796,0.7953,48.11,48.5,7.542,5820000,59.35,3830,2.354,48.45
Zotu6494,-0.3505,0.1512,0.9745,28.52,52.04,6.077,4220000,58.2,4002,1.412,47.99
Zotu6495,-0.2232,0.194,0.6168,43.44,40.65,7.06,3630000,61.64,3777,2.166,49.16
Zotu6496,-0.1493,0.5362,0.8953,30.86,30.66,7.86,9380000,67.92,7465,2.645,57.6
Zotu6497,-0.2484,0.1686,0.6168,35.62,33.48,7.041,4910000,62.52,4057,2.232,49.27
Zotu6498,0.08168,0.1908,0.9977,29.57,28.5,6.084,6990000,59.98,5311,2.103,58.59
Zotu6499,-0.334,0.3497,0.7175,32.25,40.46,6.883,3480000,48.56,3186,2.098,48.56
Zotu65,-0.2484,0.1686,0.6168,35.62,33.48,7.041,4910000,62.52,4057,2.232,49.27
Zotu650,-0.334,0.3497,0.7175,32.25,40.46,6.883,3480000,48.56,3186,2.098,48.56
Zotu6500,-0.09987,0.2699,1.382,27.36,30.41,7.183,6080000,64.41,4587,2.139,49.87
